seconds,roof,tank,inlet,solar,backup
9869,7,54,17,0,0
9879,7,54,17,0,0
9889,7,54,17,0,0
9899,7,54,17,0,0
9909,7,54,17,0,0
9919,7,54,17,0,0
9929,7,54,17,0,0
9939,7,54,17,0,0
9949,7,54,17,0,0
9959,7,54,17,0,0
9969,7,54,17,0,0
9979,7,54,17,0,0
9989,7,54,17,0,0
9999,7,54,17,0,0
10009,7,54,17,0,0
10019,7,54,17,0,0
10029,7,54,17,0,0
10039,7,54,17,0,0
10049,7,54,17,0,0
10059,7,54,17,0,0
10069,7,54,17,0,0
10079,7,54,17,0,0
10089,7,54,17,0,0
10099,7,54,17,0,0
10109,7,54,17,0,0
10119,7,54,17,0,0
10129,7,54,17,0,0
10139,7,54,17,0,0
10149,7,54,17,0,0
10159,7,54,17,0,0
10169,7,54,17,0,0
10179,7,54,17,0,0
10189,7,54,17,0,0
10199,7,54,17,0,0
10209,7,54,17,0,0
10219,7,54,17,0,0
10229,7,54,17,0,0
10239,7,54,17,0,0
10249,7,54,17,0,0
10259,7,54,17,0,0
10269,7,54,17,0,0
10279,7,54,17,0,0
10289,7,54,17,0,0
10299,7,54,17,0,0
10309,7,54,17,0,0
10319,7,54,17,0,0
10329,7,54,17,0,0
10339,7,54,17,0,0
10349,7,54,17,0,0
10359,7,54,17,0,0
10369,7,54,17,0,0
10379,7,54,17,0,0
10389,7,54,17,0,0
10399,7,54,17,0,0
10409,7,54,17,0,0
10419,7,54,17,0,0
10429,7,54,17,0,0
10439,7,54,17,0,0
10449,7,54,17,0,0
10459,7,54,17,0,0
10469,7,54,17,0,0
10479,7,54,17,0,0
10489,7,54,17,0,0
10499,7,54,17,0,0
10509,7,54,17,0,0
10519,7,54,17,0,0
10529,7,54,17,0,0
10539,7,54,17,0,0
10549,7,54,17,0,0
10559,7,54,17,0,0
10569,7,54,17,0,0
10579,7,54,17,0,0
10589,7,54,17,0,0
10599,7,54,17,0,0
10609,7,54,17,0,0
10619,7,54,17,0,0
10629,7,54,17,0,0
10639,7,54,17,0,0
10649,7,54,17,0,0
10659,7,54,17,0,0
10669,7,54,17,0,0
10679,7,54,17,0,0
10689,7,54,17,0,0
10699,7,54,17,0,0
10709,7,54,17,0,0
10719,7,54,17,0,0
10729,7,54,17,0,0
10739,7,54,17,0,0
10749,7,54,17,0,0
